asin,ISBN10,brand,image_url,title,categories
761189602,761189602,Workman Publishing,"https://images-na.ssl-images-amazon.com/images/I/51xfUm50T8L._SX218_BO1,204,203,200_QL40_ML2_.jpg",Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,"[""Books"",""Children's Books"",""Arts, Music & Photography""]"
735220689,735220689,Gail Honeyman,"https://images-na.ssl-images-amazon.com/images/I/512cLuxc5mL._SY291_BO1,204,203,200_QL40_ML2_.jpg",Eleanor Oliphant Is Completely Fine: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
735220697,735220697,Gail Honeyman,"https://images-na.ssl-images-amazon.com/images/I/51meTQ+nUJL._SY344_BO1,204,203,200_.jpg",Eleanor Oliphant Is Completely Fine: A Novel,"[""Books"",""Literature & Fiction"",""Women's Fiction""]"
761193642,761193642,Workman Publishing,"https://images-na.ssl-images-amazon.com/images/I/51iU+NgrzvL._SX258_BO1,204,203,200_.jpg",Paint by Sticker Kids: Unicorns & Magic: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers,"[""Books"",""Children's Books"",""Arts, Music & Photography""]"
735221103,735221103,Shari Lapena,"https://images-na.ssl-images-amazon.com/images/I/41nWfvrBYQL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The Couple Next Door: A Novel,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
735222355,735222355,Amor Towles,"https://images-na.ssl-images-amazon.com/images/I/51iLL4XTEjL._SY291_BO1,204,203,200_QL40_ML2_.jpg",The Lincoln Highway: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
735224293,9.78074E+12,Celeste Ng,"https://images-na.ssl-images-amazon.com/images/I/51XWy95kQjL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Little Fires Everywhere,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
735224315,735224315,Celeste Ng,"https://images-na.ssl-images-amazon.com/images/I/51KTHTD6K6L._SY291_BO1,204,203,200_QL40_ML2_.jpg",Little Fires Everywhere: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
073522465X,073522465X,Tana French,"https://images-na.ssl-images-amazon.com/images/I/41BGbFVQkcL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The Searcher: A Novel,"[""Books"",""Mystery, Thriller & Suspense"",""Mystery""]"
735224676,735224676,Tana French,"https://images-na.ssl-images-amazon.com/images/I/41g-vMcRzlL._SY291_BO1,204,203,200_QL40_ML2_.jpg",The Searcher: A Novel,"[""Books"",""Mystery, Thriller & Suspense"",""Mystery""]"
073522529X,073522529X,Sonia Purnell,"https://images-na.ssl-images-amazon.com/images/I/51TjEOGr-vL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,"[""Books"",""Biographies & Memoirs"",""Historical""]"
735225311,735225311,Sonia Purnell,"https://images-na.ssl-images-amazon.com/images/I/51DV30VOdxL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,"[""Books"",""Biographies & Memoirs"",""Historical""]"
076790592X,9.78077E+12,Mitch Albom,"https://images-na.ssl-images-amazon.com/images/I/51R8ksnd5CL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson, 20th Anniversary Edition","[""Books"",""Self-Help"",""Death & Grief""]"
078583351X,078583351X,James Allen,"https://images-na.ssl-images-amazon.com/images/I/41lhzUzztRL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","As a Man Thinketh (Volume 1) (Classic Thoughts and Thinkers, 1)","[""Books"",""Religion & Spirituality"",""New Age & Spirituality""]"
785833528,785833528,Napoleon Hill,"https://images-na.ssl-images-amazon.com/images/I/51C33aaHq5L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Think and Grow Rich,"[""Books"",""Business & Money"",""Business Culture""]"
786838655,9.78079E+12,Rick Riordan,"https://images-na.ssl-images-amazon.com/images/I/51BfYSYSfxL._SY291_BO1,204,203,200_QL40_ML2_.jpg","The Lightning Thief (Percy Jackson and the Olympians, Book 1)","[""Books"",""Children's Books"",""Fairy Tales, Folk Tales & Myths""]"
786856297,786856297,Rick Riordan,"https://images-na.ssl-images-amazon.com/images/I/51MKUTf+jHL._SY344_BO1,204,203,200_.jpg","The Lightning Thief (Percy Jackson and the Olympians, Book 1)","[""Books"",""Children's Books"",""Fairy Tales, Folk Tales & Myths""]"
786856866,545271908,Rick Riordan,"https://images-na.ssl-images-amazon.com/images/I/51ypJ4O9wtL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","The Sea of Monsters (Percy Jackson and the Olympians, Book 2)","[""Books"",""Children's Books"",""Fairy Tales, Folk Tales & Myths""]"
769646794,769646794,by Brighter Child (Compiler),"https://images-na.ssl-images-amazon.com/images/I/51oIMz-76TL._SX218_BO1,204,203,200_QL40_ML2_.jpg","Carson Dellosa Alphabet Flash Cards—Double-Sided, Uppercase and Lowercase Letter and Sound Recognition With Illustrations, Early Reading Comprehension Practice Set (54 pc)","[""Books"",""Children's Books"",""Early Learning""]"
769646891,769646891,by Brighter Child (Compiler),"https://images-na.ssl-images-amazon.com/images/I/51DStEaD4pL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg","Carson Dellosa Colors and Shapes Flash Cards—Double-Sided, Essential Shapes, Basic Colors, Names With Illustrations, Early Math and Reading Comprehension Practice Set (54 pc)","[""Books"",""Children's Books"",""Early Learning""]"
769647197,769647197,by Brighter Child (Compiler),"https://images-na.ssl-images-amazon.com/images/I/51iegaHiqjL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg","Carson Dellosa First Words Flash Cards—Double-Sided, Common Words With Illustrations, Basic Animals, Food, Objects, Phonics and Reading Readiness Practice Set (54 pc)","[""Books"",""Children's Books"",""Early Learning""]"
786965592,786965592,Wizards RPG Team,"https://images-na.ssl-images-amazon.com/images/I/51B9+i6SSxL._SX258_BO1,204,203,200_.jpg",Dungeons & Dragons Starter Set,"[""Books"",""Humor & Entertainment"",""Puzzles & Games""]"
786965606,78696560,Wizards of the Coast,https://images-na.ssl-images-amazon.com/images/I/81pViXqeVLL.__AC_SX342_SY445_QL70_FMwebp_.jpg,Player's Handbook (Dungeons & Dragons),"[""Books"",""Humor & Entertainment"",""Puzzles & Games"",""Reference""]"
786965614,786966750,Wizards RPG Team,"https://images-na.ssl-images-amazon.com/images/I/51vp1TaDO0L._SX218_BO1,204,203,200_QL40_FMwebp_.jpg","Dungeons & Dragons Monster Manual (Core Rulebook, D&D Roleplaying Game)","[""Books"",""Humor & Entertainment"",""Puzzles & Games""]"
786965622,9.78079E+12,Wizards RPG Team,"https://images-na.ssl-images-amazon.com/images/I/513Zt6L7MfL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg","Dungeons & Dragons Dungeon Master's Guide (Core Rulebook, D&D Roleplaying Game)","[""Books"",""Humor & Entertainment"",""Puzzles & Games""]"
786966017,786966017,Wizards RPG Team,"https://images-na.ssl-images-amazon.com/images/I/5114v+pI9gL._SX258_BO1,204,203,200_.jpg",Volo's Guide to Monsters (Dungeons & Dragons),"[""Books"",""Humor & Entertainment"",""Puzzles & Games""]"
